"ProblemSlug","TagSlug","TagType","GoodnessOfFit","Confidence","Justification"
"75-csmo-a-i-2","ciferny-sucet","Type","0",,
"75-csmo-a-i-2","najmensi-spolocny-nasobok","Type","0",,
"75-csmo-a-i-2","delitelnost","Type","0",,
"75-csmo-a-i-2","logicka-uloha","Area","0",,
"75-csmo-a-i-2","plati-vo-vseobecnosti","Goal","0",,
"75-csmo-a-i-2","mnozina-bodov","Type","0",,
"75-csmo-a-i-2","geometria","Area","0",,
"75-csmo-a-i-2","absolutna-hodnota","Type","1",0,"The equation explicitly contains an absolute value term: |x^2-1|."
"75-csmo-a-i-2","kvader","Type","0",,
"75-csmo-a-i-2","obdlznik","Type","0",,
"75-csmo-a-i-2","parita","Type","0",,
"75-csmo-a-i-2","algebra","Area","1",0,"The problem involves an equation with real numbers, absolute values, and finding properties of its roots, which squarely falls under algebra."
"75-csmo-a-i-2","kosostvorec","Type","0",,
"75-csmo-a-i-2","stredna-priecka","Type","0",,
"75-csmo-a-i-2","taznica","Type","0",,
"75-csmo-a-i-2","binomicky-koeficient","Type","0",,
"75-csmo-a-i-2","komplexne-cisla","Area","0",,
"75-csmo-a-i-2","dokaz-vseobecneho-tvrdenia","Goal","1",0,"Part b) asks to prove that the product of the 4 numbers lies in a specific interval, which is a general assertion about the properties of the solutions."
"75-csmo-a-i-2","obsah","Type","0",,
"75-csmo-a-i-2","dokaz-ekvivalencie","Goal","0",,
"75-csmo-a-i-2","povrch","Type","0",,
"75-csmo-a-i-2","stredova-sumernost","Type","0",,
"75-csmo-a-i-2","faktorial","Type","0",,
"75-csmo-a-i-2","obvod","Type","0",,
"75-csmo-a-i-2","nesudelitelne-cisla","Type","0",,
"75-csmo-a-i-2","stvorec","Type","0",,
"75-csmo-a-i-2","teoria-grafov","Area","0",,
"75-csmo-a-i-2","mriezka","Type","0",,
"75-csmo-a-i-2","remizujuca-strategia","Goal","0",,
"75-csmo-a-i-2","najvacsi-spolocny-delitel","Type","0",,
"75-csmo-a-i-2","pellova-rovnica","Type","0",,
"75-csmo-a-i-2","objem","Type","0",,
"75-csmo-a-i-2","ortocentrum","Type","0",,
"75-csmo-a-i-2","aritmeticka-postupnost","Type","0",,
"75-csmo-a-i-2","prvocisla","Type","0",,
"75-csmo-a-i-2","pravouhly-trojuholnik","Type","0",,
"75-csmo-a-i-2","polynom","Type","0",,
"75-csmo-a-i-2","hra-dvoch-hracov","Type","0",,
"75-csmo-a-i-2","fibonacciho-postupnost","Type","0",,
"75-csmo-a-i-2","kvadraticka-rovnica","Type","0.5",0,"The equation |x^2-1|=px+q involves x^2, which suggests a quadratic nature when the absolute value is removed. However, the absolute value means it's not strictly a single quadratic equation, but can be split into parts that are quadratic."
"75-csmo-a-i-2","priemer","Type","0",,
"75-csmo-a-i-2","geometricka-postupnost","Type","0",,
"75-csmo-a-i-2","najdite-riesenie-ak-existuje","Goal","0",,
"75-csmo-a-i-2","hra-3-hracov","Type","0",,
"75-csmo-a-i-2","rekurentna-postupnost","Type","0",,
"75-csmo-a-i-2","kombinatoricka-geometria","Area","0",,
"75-csmo-a-i-2","existuje-riesenie","Goal","0",,
"75-csmo-a-i-2","pocet-rieseni","Goal","0.5",0,"The problem statement specifies that there are exactly 4 solutions. While not directly asked to find the number of solutions, this is a crucial piece of information for solving the problem."
"75-csmo-a-i-2","algebrogram","Type","0",,
"75-csmo-a-i-2","geometricka-konstrukcia","Goal","0",,
"75-csmo-a-i-2","tazisko","Type","0",,
"75-csmo-a-i-2","kruznica-opisana","Type","0",,
"75-csmo-a-i-2","optimalizacna-uloha","Goal","0",,
"75-csmo-a-i-2","dotycnicovy-stvoruholnik","Type","0",,
"75-csmo-a-i-2","lichobeznik","Type","0",,
"75-csmo-a-i-2","palindrom","Type","0",,
"75-csmo-a-i-2","kombinacne-cislo","Type","0",,
"75-csmo-a-i-2","rovnolahlost","Type","0",,
"75-csmo-a-i-2","rovnica","Type","1",0,"The core of the problem is solving and analyzing the properties of solutions to the equation |x^2-1|=px+q."
"75-csmo-a-i-2","goniometria","Area","0",,
"75-csmo-a-i-2","dokaz-existencie","Goal","0",,
"75-csmo-a-i-2","kvadraticky-zvysok","Type","0",,
"75-csmo-a-i-2","teoria-cisel","Area","0",,
"75-csmo-a-i-2","vsetky-riesenia","Goal","0",,
"75-csmo-a-i-2","magicky-stvorec","Type","0",,
"75-csmo-a-i-2","dokaz-jednoznacnosti","Goal","0",,
"75-csmo-a-i-2","periodicka-postupnost","Type","0",,
"75-csmo-a-i-2","pevny-bod","Type","0",,
"75-csmo-a-i-2","kongruencie","Type","0",,
"75-csmo-a-i-2","vypocet-veliciny","Goal","1",0,"Part a) asks to determine all possible values of the sum of the four numbers, which is a direct calculation of a specific quantity."
"75-csmo-a-i-2","kvadraticky-polynom","Type","1",0,"The expression x^2-1 is a quadratic polynomial. When handling the absolute value, the problem will likely reduce to dealing with quadratic equations or polynomials."
"75-csmo-a-i-2","3d-geometria","Area","0",,
"75-csmo-a-i-2","rovnobeznik","Type","0",,
"75-csmo-a-i-2","konstrukcna-uloha","Goal","0",,
"75-csmo-a-i-2","zvysok-po-deleni","Type","0",,
"75-csmo-a-i-2","sustava-rovnic","Type","0",,
"75-csmo-a-i-2","funkcionalna-rovnica","Area","0",,
"75-csmo-a-i-2","median","Type","0",,
"75-csmo-a-i-2","primitivny-koren","Type","0",,
"75-csmo-a-i-2","usekovy-uhol","Type","0",,
"75-csmo-a-i-2","dotycnica","Type","0",,
"75-csmo-a-i-2","nerovnost","Type","1",0,"Part b) asks to prove that the product lies within an interval, which is an inequality statement (-3 < product < 1)."
"75-csmo-a-i-2","cela-cast","Type","0",,
"75-csmo-a-i-2","iteracia-funkcie","Type","0",,
"75-csmo-a-i-2","tetivovy-stvoruholnik","Type","0",,
"75-csmo-a-i-2","ciselna-sustava","Type","0",,
"75-csmo-a-i-2","symediana","Type","0",,
"75-csmo-a-i-2","sustava-nerovnic","Type","0",,
"75-csmo-a-i-2","kruznica-vpisana","Type","0",,
"75-csmo-a-i-2","kruznica-pripisana","Type","0",,
"75-csmo-a-i-2","vitazna-strategia","Goal","0",,
"75-csmo-a-i-2","triangularne-cislo","Type","0",,
"75-csmo-a-i-2","dokaz-neexistencie","Goal","0",,
"75-csmo-a-i-2","rychlost","Type","0",,
"75-csmo-a-i-3","geometricka-konstrukcia","Goal","0",,
"75-csmo-a-i-3","plati-vo-vseobecnosti","Goal","0",,
"75-csmo-a-i-3","mnozina-bodov","Type","0",,
"75-csmo-a-i-3","geometria","Area","0",,
"75-csmo-a-i-3","absolutna-hodnota","Type","0",,
"75-csmo-a-i-3","kvader","Type","0",,
"75-csmo-a-i-3","obdlznik","Type","0",,
"75-csmo-a-i-3","parita","Type","0",,
"75-csmo-a-i-3","algebra","Area","0",,
"75-csmo-a-i-3","kosostvorec","Type","0",,
"75-csmo-a-i-3","stredna-priecka","Type","0",,
"75-csmo-a-i-3","taznica","Type","0",,
"75-csmo-a-i-3","binomicky-koeficient","Type","0",,
"75-csmo-a-i-3","komplexne-cisla","Area","0",,
"75-csmo-a-i-3","dokaz-vseobecneho-tvrdenia","Goal","0",,
"75-csmo-a-i-3","obsah","Type","0",,
"75-csmo-a-i-3","dokaz-ekvivalencie","Goal","0",,
"75-csmo-a-i-3","povrch","Type","0",,
"75-csmo-a-i-3","stredova-sumernost","Type","0",,
"75-csmo-a-i-3","faktorial","Type","0",,
"75-csmo-a-i-3","obvod","Type","0",,
"75-csmo-a-i-3","nesudelitelne-cisla","Type","0",,
"75-csmo-a-i-3","stvorec","Type","0",,
"75-csmo-a-i-3","teoria-grafov","Area","0",,
"75-csmo-a-i-3","mriezka","Type","0",,
"75-csmo-a-i-3","remizujuca-strategia","Goal","0",,
"75-csmo-a-i-3","najvacsi-spolocny-delitel","Type","0",,
"75-csmo-a-i-3","pellova-rovnica","Type","0",,
"75-csmo-a-i-3","objem","Type","0",,
"75-csmo-a-i-3","ortocentrum","Type","0",,
"75-csmo-a-i-3","aritmeticka-postupnost","Type","0",,
"75-csmo-a-i-3","prvocisla","Type","0",,
"75-csmo-a-i-3","pravouhly-trojuholnik","Type","0",,
"75-csmo-a-i-3","polynom","Type","0",,
"75-csmo-a-i-3","hra-dvoch-hracov","Type","0",,
"75-csmo-a-i-3","fibonacciho-postupnost","Type","0",,
"75-csmo-a-i-3","kvadraticka-rovnica","Type","0",,
"75-csmo-a-i-3","priemer","Type","0",,
"75-csmo-a-i-3","geometricka-postupnost","Type","0",,
"75-csmo-a-i-3","najdite-riesenie-ak-existuje","Goal","0",,
"75-csmo-a-i-3","hra-3-hracov","Type","0",,
"75-csmo-a-i-3","rekurentna-postupnost","Type","0",,
"75-csmo-a-i-3","existuje-riesenie","Goal","0",,
"75-csmo-a-i-3","pocet-rieseni","Goal","0",,
"75-csmo-a-i-3","permutacia","Type","0",,
"75-csmo-a-i-3","algebrogram","Type","0",,
"75-csmo-a-i-3","logicka-uloha","Area","0",,
"75-csmo-a-i-3","tazisko","Type","0",,
"75-csmo-a-i-3","kruznica-opisana","Type","0",,
"75-csmo-a-i-3","optimalizacna-uloha","Goal","1",0,"The problem asks for the 'najmenší možný počet ťahov' (smallest possible number of moves), which is a clear optimization objective."
"75-csmo-a-i-3","dotycnicovy-stvoruholnik","Type","0",,
"75-csmo-a-i-3","lichobeznik","Type","0",,
"75-csmo-a-i-3","palindrom","Type","0",,
"75-csmo-a-i-3","kombinacne-cislo","Type","0",,
"75-csmo-a-i-3","rovnolahlost","Type","0",,
"75-csmo-a-i-3","rovnica","Type","0",,
"75-csmo-a-i-3","goniometria","Area","0",,
"75-csmo-a-i-3","dokaz-existencie","Goal","0",,
"75-csmo-a-i-3","kvadraticky-zvysok","Type","0",,
"75-csmo-a-i-3","teoria-cisel","Area","0",,
"75-csmo-a-i-3","vsetky-riesenia","Goal","0",,
"75-csmo-a-i-3","magicky-stvorec","Type","0",,
"75-csmo-a-i-3","dokaz-jednoznacnosti","Goal","0",,
"75-csmo-a-i-3","periodicka-postupnost","Type","0",,
"75-csmo-a-i-3","pevny-bod","Type","0",,
"75-csmo-a-i-3","kongruencie","Type","0",,
"75-csmo-a-i-3","vypocet-veliciny","Goal","1",0,"The problem explicitly asks to determine the smallest possible number of moves, which is a specific quantity to be calculated."
"75-csmo-a-i-3","kvadraticky-polynom","Type","0",,
"75-csmo-a-i-3","3d-geometria","Area","0",,
"75-csmo-a-i-3","rovnobeznik","Type","0",,
"75-csmo-a-i-3","konstrukcna-uloha","Goal","0",,
"75-csmo-a-i-3","zvysok-po-deleni","Type","0",,
"75-csmo-a-i-3","sustava-rovnic","Type","0",,
"75-csmo-a-i-3","funkcionalna-rovnica","Area","0",,
"75-csmo-a-i-3","median","Type","0",,
"75-csmo-a-i-3","primitivny-koren","Type","0",,
"75-csmo-a-i-3","usekovy-uhol","Type","0",,
"75-csmo-a-i-3","dotycnica","Type","0",,
"75-csmo-a-i-3","nerovnost","Type","0",,
"75-csmo-a-i-3","cela-cast","Type","0",,
"75-csmo-a-i-3","iteracia-funkcie","Type","0",,
"75-csmo-a-i-3","tetivovy-stvoruholnik","Type","0",,
"75-csmo-a-i-3","ciselna-sustava","Type","0",,
"75-csmo-a-i-3","symediana","Type","0",,
"75-csmo-a-i-3","sustava-nerovnic","Type","0",,
"75-csmo-a-i-3","kruznica-vpisana","Type","0",,
"75-csmo-a-i-3","kruznica-pripisana","Type","0",,
"75-csmo-a-i-3","vitazna-strategia","Goal","0",,
"75-csmo-a-i-3","triangularne-cislo","Type","0",,
"75-csmo-a-i-3","dokaz-neexistencie","Goal","0",,
"75-csmo-a-i-3","rychlost","Type","0",,
"75-csmo-a-i-3","kombinatoricka-geometria","Area","1",0,"The problem involves arranging objects (discs) on rods with specific rules, and finding the minimum number of moves, which is a classic combinatorial puzzle."
"75-csmo-a-i-3","ciferny-sucet","Type","0",,
"75-csmo-a-i-3","najmensi-spolocny-nasobok","Type","0",,
"75-csmo-a-i-3","delitelnost","Type","0",,
"75-csmo-a-i-4","rychlost","Type","0",,
"75-csmo-a-i-4","delitelnost","Type","1",0,"The concept of 'nesúdeliteľné' (coprime) is directly related to divisibility."
"75-csmo-a-i-4","logicka-uloha","Area","0",,
"75-csmo-a-i-4","plati-vo-vseobecnosti","Goal","0",,
"75-csmo-a-i-4","mnozina-bodov","Type","0",,
"75-csmo-a-i-4","geometria","Area","0",,
"75-csmo-a-i-4","absolutna-hodnota","Type","0",,
"75-csmo-a-i-4","kvader","Type","0",,
"75-csmo-a-i-4","obdlznik","Type","0",,
"75-csmo-a-i-4","parita","Type","0",,
"75-csmo-a-i-4","algebra","Area","0",,
"75-csmo-a-i-4","kosostvorec","Type","0",,
"75-csmo-a-i-4","stredna-priecka","Type","0",,
"75-csmo-a-i-4","taznica","Type","0",,
"75-csmo-a-i-4","binomicky-koeficient","Type","0",,
"75-csmo-a-i-4","komplexne-cisla","Area","0",,
"75-csmo-a-i-4","dokaz-vseobecneho-tvrdenia","Goal","1",0,"The objective is to prove a general statement about natural numbers a and b."
"75-csmo-a-i-4","obsah","Type","0",,
"75-csmo-a-i-4","dokaz-ekvivalencie","Goal","0",,
"75-csmo-a-i-4","povrch","Type","0",,
"75-csmo-a-i-4","stredova-sumernost","Type","0",,
"75-csmo-a-i-4","faktorial","Type","0",,
"75-csmo-a-i-4","obvod","Type","0",,
"75-csmo-a-i-4","nesudelitelne-cisla","Type","1",0,"The problem explicitly mentions 'nesúdeliteľné prirodzené čísla' (coprime natural numbers) multiple times."
"75-csmo-a-i-4","stvorec","Type","0",,
"75-csmo-a-i-4","teoria-grafov","Area","0",,
"75-csmo-a-i-4","mriezka","Type","0",,
"75-csmo-a-i-4","remizujuca-strategia","Goal","0",,
"75-csmo-a-i-4","najvacsi-spolocny-delitel","Type","0",,
"75-csmo-a-i-4","pellova-rovnica","Type","0",,
"75-csmo-a-i-4","objem","Type","0",,
"75-csmo-a-i-4","ortocentrum","Type","0",,
"75-csmo-a-i-4","aritmeticka-postupnost","Type","0",,
"75-csmo-a-i-4","prvocisla","Type","0",,
"75-csmo-a-i-4","pravouhly-trojuholnik","Type","0",,
"75-csmo-a-i-4","polynom","Type","0",,
"75-csmo-a-i-4","hra-dvoch-hracov","Type","0",,
"75-csmo-a-i-4","fibonacciho-postupnost","Type","0",,
"75-csmo-a-i-4","kvadraticka-rovnica","Type","0",,
"75-csmo-a-i-4","priemer","Type","0",,
"75-csmo-a-i-4","geometricka-postupnost","Type","0",,
"75-csmo-a-i-4","najdite-riesenie-ak-existuje","Goal","0",,
"75-csmo-a-i-4","hra-3-hracov","Type","0",,
"75-csmo-a-i-4","rekurentna-postupnost","Type","0",,
"75-csmo-a-i-4","kombinatoricka-geometria","Area","0",,
"75-csmo-a-i-4","existuje-riesenie","Goal","0",,
"75-csmo-a-i-4","pocet-rieseni","Goal","0",,
"75-csmo-a-i-4","najmensi-spolocny-nasobok","Type","0",,
"75-csmo-a-i-4","permutacia","Type","0",,
"75-csmo-a-i-4","algebrogram","Type","0",,
"75-csmo-a-i-4","geometricka-konstrukcia","Goal","0",,
"75-csmo-a-i-4","tazisko","Type","0",,
"75-csmo-a-i-4","kruznica-opisana","Type","0",,
"75-csmo-a-i-4","optimalizacna-uloha","Goal","0",,
"75-csmo-a-i-4","dotycnicovy-stvoruholnik","Type","0",,
"75-csmo-a-i-4","lichobeznik","Type","0",,
"75-csmo-a-i-4","palindrom","Type","0",,
"75-csmo-a-i-4","kombinacne-cislo","Type","0",,
"75-csmo-a-i-4","rovnolahlost","Type","0",,
"75-csmo-a-i-4","rovnica","Type","0",,
"75-csmo-a-i-4","goniometria","Area","0",,
"75-csmo-a-i-4","dokaz-existencie","Goal","0",,
"75-csmo-a-i-4","kvadraticky-zvysok","Type","0",,
"75-csmo-a-i-4","teoria-cisel","Area","1",0,"The problem deals with properties of natural numbers, divisibility, and coprimality, which are core concepts in number theory."
"75-csmo-a-i-4","vsetky-riesenia","Goal","0",,
"75-csmo-a-i-4","magicky-stvorec","Type","0",,
"75-csmo-a-i-4","dokaz-jednoznacnosti","Goal","0",,
"75-csmo-a-i-4","periodicka-postupnost","Type","0",,
"75-csmo-a-i-4","pevny-bod","Type","0",,
"75-csmo-a-i-4","kongruencie","Type","0",,
"75-csmo-a-i-4","vypocet-veliciny","Goal","0",,
"75-csmo-a-i-4","kvadraticky-polynom","Type","0",,
"75-csmo-a-i-4","3d-geometria","Area","0",,
"75-csmo-a-i-4","rovnobeznik","Type","0",,
"75-csmo-a-i-4","konstrukcna-uloha","Goal","0",,
"75-csmo-a-i-4","zvysok-po-deleni","Type","0",,
"75-csmo-a-i-4","sustava-rovnic","Type","0",,
"75-csmo-a-i-4","funkcionalna-rovnica","Area","0",,
"75-csmo-a-i-4","median","Type","0",,
"75-csmo-a-i-4","primitivny-koren","Type","0",,
"75-csmo-a-i-4","usekovy-uhol","Type","0",,
"75-csmo-a-i-4","dotycnica","Type","0",,
"75-csmo-a-i-4","nerovnost","Type","0",,
"75-csmo-a-i-4","cela-cast","Type","0",,
"75-csmo-a-i-4","iteracia-funkcie","Type","0",,
"75-csmo-a-i-4","tetivovy-stvoruholnik","Type","0",,
"75-csmo-a-i-4","ciselna-sustava","Type","0",,
"75-csmo-a-i-4","symediana","Type","0",,
"75-csmo-a-i-4","sustava-nerovnic","Type","0",,
"75-csmo-a-i-4","kruznica-vpisana","Type","0",,
"75-csmo-a-i-4","kruznica-pripisana","Type","0",,
"75-csmo-a-i-4","vitazna-strategia","Goal","0",,
"75-csmo-a-i-4","triangularne-cislo","Type","0",,
"75-csmo-a-i-4","ciferny-sucet","Type","0",,
"75-csmo-a-i-4","dokaz-neexistencie","Goal","0",,
